p1                                                                                                                                                                                               p2      rg      se        z            p  h2_obs  h2_obs_se  h2_int  h2_int_se  gcov_int  gcov_int_se
Allcohorts_female_AD                                       Allcohorts_male_AD  0.8954  0.0278  32.1722  4.3247e-227  0.0652     0.0039  1.0013     0.0076    0.0115       0.0058
Allcohorts_female_AD                                   AdamsAD_sumstats  0.9792  0.0143  68.6418   0.0000e+00  0.0274     0.0008  1.0003     0.0168    0.1155       0.0098
Allcohorts_female_AD       BloklandADfemale_sumstats  0.9646  0.0524  18.4248   8.3085e-76  0.1422     0.0187  0.9996     0.0090    0.3623       0.0083
Allcohorts_female_AD       BloklandADmale_sumstats  1.0284  0.1610   6.3864   1.6981e-10  0.0632     0.0198  1.0248     0.0086    0.0102       0.0076
Allcohorts_female_AD                                                    SilveiraADfemale_sumstats  0.9099  0.0279  32.6594  5.8845e-234  0.0718     0.0044  1.0105     0.0072    0.2100       0.0059
Allcohorts_female_AD                                                      SilveiraADmale_sumstats  0.8424  0.0463  18.2122   4.1264e-74  0.0558     0.0049  1.0036     0.0068   -0.0055       0.0058
Allcohorts_female_AD                                                         ADHD_sumstats  0.5841  0.0264  22.1316  1.5692e-108  0.0944     0.0044  1.0301     0.0096    0.0239       0.0065
Allcohorts_female_AD                                                                 Anxiety_sumstats  0.8544  0.0201  42.5470   0.0000e+00  0.0259     0.0011  1.0023     0.0134    0.0915       0.0090
Allcohorts_female_AD                                                                     Bipolar_sumstats  0.4729  0.0233  20.3232   8.0251e-92  0.2900     0.0110  1.0171     0.0095    0.0182       0.0062
Allcohorts_female_AD                                                                        PTSD_sumstats  0.8521  0.0190  44.7447   0.0000e+00  0.0447     0.0016  1.0413     0.0110    0.0696       0.0074
Allcohorts_female_AD                                                      Schizophrenia_sumstats  0.3387  0.0223  15.1806   4.7544e-52  0.8240     0.0293  1.0592     0.0131    0.0186       0.0066
Allcohorts_female_AD                                  BMI_sumstats  0.2168  0.0202  10.7119   8.9467e-27  0.2113     0.0066  1.0254     0.0273    0.0219       0.0084
Allcohorts_female_AD  Waist_to_hip_ratio_sumstats  0.0953  0.0202   4.7123   2.4498e-06  0.1049     0.0063  1.1468     0.0389    0.0033       0.0070
Allcohorts_female_AD                                                             Metabolic_syndrome_sumstats  0.2825  0.0188  14.9885   8.7350e-51  0.1203     0.0033  0.9840     0.0367    0.0255       0.0086
Allcohorts_female_AD                                                              EA_sumstats -0.2056  0.0202 -10.1826   2.3704e-24  0.1367     0.0038  0.9763     0.0187   -0.0046       0.0074
Allcohorts_female_AD                                     BMI_female_sumstats  0.2559  0.0221  11.5762   5.4423e-31  0.2174     0.0082  0.9886     0.0185    0.0336       0.0078
Allcohorts_female_AD                                       BMI_male_sumstats  0.2171  0.0211  10.2876   8.0162e-25  0.2274     0.0101  1.0049     0.0176    0.0014       0.0067
Allcohorts_female_AD                                  Drinks_per_week_sumstats  0.0439  0.0249   1.7652   7.7529e-02  0.0545     0.0025  1.0949     0.0122    0.0027       0.0060
Allcohorts_female_AD                                 Ever_smoked_regularly_sumstats  0.3671  0.0198  18.5671   5.9294e-77  0.0877     0.0029  1.0469     0.0144    0.0170       0.0070

