p1                                                                                                                                                                                               p2      rg      se        z            p  h2_obs  h2_obs_se  h2_int  h2_int_se  gcov_int  gcov_int_se
Allcohorts_male_AD                                   Allcohorts_female_AD  0.8954  0.0278  32.1722  4.3247e-227  0.0739     0.0036  1.0042     0.0088    0.0115       0.0058
Allcohorts_male_AD                                   AdamsAD_sumstats  0.9197  0.0199  46.1076   0.0000e+00  0.0274     0.0008  1.0001     0.0169    0.1049       0.0089
Allcohorts_male_AD       BloklandADfemale_sumstats  0.6844  0.0725   9.4435   3.6055e-21  0.1426     0.0184  0.9994     0.0089    0.0086       0.0073
Allcohorts_male_AD       BloklandADmale_sumstats  1.3417  0.1703   7.8778   3.3324e-15  0.0638     0.0201  1.0245     0.0088    0.3655       0.0070
Allcohorts_male_AD                                                    SilveiraADfemale_sumstats  0.8351  0.0395  21.1488   2.8290e-99  0.0720     0.0044  1.0100     0.0073    0.0042       0.0063
Allcohorts_male_AD                                                      SilveiraADmale_sumstats  0.9308  0.0376  24.7596  2.4427e-135  0.0557     0.0049  1.0038     0.0068    0.2294       0.0053
Allcohorts_male_AD                                                         ADHD_sumstats  0.4892  0.0318  15.3730   2.4849e-53  0.0945     0.0044  1.0299     0.0097    0.0215       0.0059
Allcohorts_male_AD                                                                 Anxiety_sumstats  0.8468  0.0270  31.4159  1.2281e-216  0.0259     0.0011  1.0024     0.0134    0.0747       0.0081
Allcohorts_male_AD                                                                     Bipolar_sumstats  0.4777  0.0297  16.1053   2.3399e-58  0.2900     0.0111  1.0174     0.0095    0.0367       0.0061
Allcohorts_male_AD                                                                        PTSD_sumstats  0.8486  0.0248  34.2106  1.6802e-256  0.0447     0.0016  1.0411     0.0109    0.0600       0.0071
Allcohorts_male_AD                                                      Schizophrenia_sumstats  0.3528  0.0281  12.5413   4.4385e-36  0.8232     0.0294  1.0598     0.0131    0.0282       0.0065
Allcohorts_male_AD                                  BMI_sumstats  0.1083  0.0217   5.0009   5.7058e-07  0.2113     0.0066  1.0252     0.0275    0.0171       0.0077
Allcohorts_male_AD                                                             Metabolic_syndrome_sumstats  0.1936  0.0219   8.8298   1.0488e-18  0.1202     0.0034  0.9849     0.0370    0.0225       0.0085
Allcohorts_male_AD  Waist_to_hip_ratio_sumstats  0.1411  0.0247   5.7216   1.0554e-08  0.1048     0.0064  1.1473     0.0391    0.0054       0.0071
Allcohorts_male_AD                                                              EA_sumstats -0.1497  0.0241  -6.1972   5.7464e-10  0.1367     0.0038  0.9763     0.0187   -0.0022       0.0066
Allcohorts_male_AD                                     BMI_female_sumstats  0.1332  0.0237   5.6089   2.0362e-08  0.2172     0.0082  0.9895     0.0185    0.0077       0.0070
Allcohorts_male_AD                                       BMI_male_sumstats  0.1279  0.0233   5.4901   4.0164e-08  0.2275     0.0101  1.0043     0.0175    0.0259       0.0065
Allcohorts_male_AD                                  Drinks_per_week_sumstats  0.0087  0.0301   0.2902   7.7166e-01  0.0545     0.0025  1.0950     0.0124    0.0111       0.0059
Allcohorts_male_AD                                 Ever_smoked_regularly_sumstats  0.2842  0.0258  11.0169   3.1666e-28  0.0877     0.0029  1.0473     0.0144    0.0141       0.0068

