          Pi       NnzSnp      SigmaSq            S       ResVar       GenVar     SigmaSqG          hsq 
  0.00869952        24318  0.000271627    -0.150365      6.59097      1.58571      2.43201     0.206887 









  0.00533315        15029  9.54225e-05    -0.325332      7.16555     0.655502     0.665756    0.0855232 









  0.00540519        15045  8.47329e-05    -0.332263      7.16859      0.60354     0.602289    0.0787438 









  0.00558567        15844  7.81611e-05    -0.352517      7.17277     0.594739     0.590911    0.0775954 









  0.00602721        16894  7.87304e-05    -0.297122      7.21689     0.612492     0.608834    0.0799117 









  0.00632406        18007  7.60106e-05    -0.288203      7.19119     0.608367     0.621195    0.0793735 









  0.00669309        18669  7.52262e-05    -0.313258      7.11401     0.647362     0.649198    0.0844612 









  0.00686753        19245  6.99712e-05    -0.341761      7.16204     0.637202     0.642353    0.0831356 









  0.00716925        20024  6.87464e-05    -0.318833      7.15839     0.648462     0.640495    0.0846047 









  0.00728715        20461  6.82193e-05    -0.313945      7.15132     0.637195     0.642334    0.0831347 









  0.00754117        21350  6.39719e-05    -0.355354      7.12587     0.659472     0.655017    0.0860411 









  0.00781801        21793  6.14391e-05     -0.36831      7.12491     0.655587     0.648998    0.0855343 









  0.00796093        22247  6.40376e-05    -0.311528      7.12705     0.657216     0.648423    0.0857469 









  0.00855734        24053  5.67641e-05    -0.345756      7.09032     0.665549     0.652167     0.086834 









  0.00861953        23974  5.82855e-05    -0.345756      7.13117     0.669569     0.669646    0.0873586 









  0.00893265        25042  5.67096e-05    -0.345756      7.06883     0.686802     0.651541    0.0896069 









  0.00912102        25567  5.22264e-05    -0.351925      7.13108     0.645069     0.635821     0.084162 









    0.009502        26520  5.13153e-05    -0.373806      7.11075     0.677641     0.663498    0.0884117 









  0.00978142        27507  5.00673e-05    -0.369212       7.1159     0.674746     0.666628    0.0880339 









   0.0100172        27714  4.81141e-05    -0.368039       7.0876     0.657159     0.647193    0.0857394 









  0.00976382        27399  4.85743e-05    -0.360052      7.11149     0.652982     0.652474    0.0851944 









   0.0100418        28111  4.67072e-05    -0.371884       7.1546     0.650033      0.64252    0.0848096 









   0.0102456        28835  4.93983e-05    -0.372855      7.09883     0.684812     0.680057    0.0893473 









  0.00998206        28054  4.88987e-05    -0.374142      7.09985     0.671288     0.666185    0.0875828 









   0.0103899        28941  4.61597e-05    -0.374142      7.12471     0.660215     0.628871    0.0861382 









   0.0109879        31040  4.48659e-05    -0.373569      7.05976     0.701357     0.675599    0.0915058 









   0.0110437        30875  4.49808e-05    -0.368456      7.11227     0.675934     0.675698     0.088189 









   0.0105529        29626  4.50595e-05      -0.3739      7.08303     0.667689     0.651296    0.0871133 









   0.0106099        29616   4.4019e-05    -0.380769      7.13771     0.656401     0.635784    0.0856406 









   0.0107426        30321  4.50302e-05    -0.366646      7.09373     0.684181     0.659095    0.0892649 









   0.0107733        30116  4.36083e-05    -0.385246      7.12022     0.668429     0.642581    0.0872098 









   0.0110945        31184  4.24041e-05     -0.39693      7.08556     0.670388     0.657092    0.0874654 









   0.0114883        32175  4.04905e-05      -0.3719      7.09997     0.651468     0.633982    0.0849969 









   0.0116865        32443  4.13257e-05    -0.371407      7.13153     0.663078     0.651163    0.0865117 









   0.0117441        32849  4.23378e-05    -0.361341      7.09089     0.677239     0.671375    0.0883593 









     0.01177        32748  4.29063e-05    -0.338916      7.13377     0.676401      0.66328      0.08825 









   0.0115655        32664  4.40798e-05    -0.338714      7.09938     0.690043     0.682098    0.0900298 









   0.0114052        32172  4.50483e-05    -0.290224      7.14428     0.666627     0.656265    0.0869747 









   0.0114163        32117  4.52845e-05    -0.238488       7.1139     0.651934     0.633875    0.0850577 









   0.0114183        31822  4.80914e-05    -0.198655      7.12165     0.646887     0.637687    0.0843992 









   0.0114473        32017  4.63872e-05    -0.195131       7.1176     0.632384     0.623993    0.0825071 









