          Pi       NnzSnp      SigmaSq            S       ResVar       GenVar     SigmaSqG          hsq 
  0.00876489        24580  0.000349058    -0.122048      7.13173      2.02552      2.94805     0.236729 









  0.00539352        15009  0.000121047    -0.279984       7.9642     0.746202     0.772043    0.0872111 









   0.0049558        13977  0.000104435    -0.300148      7.99061     0.649878     0.641248    0.0759533 









  0.00490843        13852  9.73253e-05     -0.34697      8.06796     0.614823     0.614852    0.0718564 









  0.00501701        14109  9.83433e-05    -0.354583       8.0524     0.638889     0.634904     0.074669 









  0.00513322        14406  9.78786e-05    -0.352318      8.02382     0.656581     0.655557    0.0767368 









  0.00512014        14263  9.64097e-05    -0.359697      8.02242      0.63048     0.627972    0.0736863 









  0.00518228        14680  9.64064e-05    -0.299925      8.03768     0.618617     0.617746    0.0722999 









  0.00531268        14865  9.36512e-05    -0.287026      8.10864     0.595526     0.598313    0.0696011 









  0.00537159        15068  9.54396e-05    -0.332216      8.02891       0.6392     0.647367    0.0747054 









  0.00544113        15353   9.4433e-05    -0.308254      7.96057     0.636291     0.642092    0.0743655 









   0.0059242        16522  8.54739e-05    -0.332288      8.00515     0.640418     0.635888    0.0748477 









  0.00607564        17020  8.12642e-05     -0.34651      7.98969     0.650379     0.633865    0.0760119 









  0.00656939        18360   8.1056e-05    -0.316083      7.97518     0.656469     0.651735    0.0767237 









  0.00692625        19400   7.6776e-05    -0.327041      7.99194      0.66461     0.632877    0.0776751 









    0.006995        19720  7.50482e-05    -0.327041      7.99497     0.660779     0.618634    0.0772274 









  0.00697869        19616  7.67111e-05    -0.319804      7.97406     0.670401     0.668237     0.078352 









  0.00713781        20302  7.32998e-05    -0.346419      7.97584     0.685461     0.673171    0.0801121 









  0.00712347        19772  7.22575e-05    -0.346419      8.01205      0.63297     0.663599    0.0739773 









  0.00723975        20461  6.98991e-05    -0.346419      7.99855     0.669708      0.64194     0.078271 









  0.00747257        20929  6.72305e-05    -0.326313      7.97189     0.649824     0.631356    0.0759471 









  0.00736223        20809  6.78734e-05    -0.336256      8.01818     0.638014     0.632407    0.0745668 









  0.00746625        21230  6.87155e-05    -0.325249      7.97345     0.652804     0.648472    0.0762954 









  0.00752013        21292  6.76129e-05      -0.3332      7.99476     0.664361     0.650277    0.0776461 









  0.00757271        21285  7.15301e-05    -0.312483      7.99125     0.679423     0.668759    0.0794064 









  0.00775049        21673  7.13491e-05    -0.282295      8.04624     0.665517     0.657252    0.0777812 









   0.0081549        22825   6.6836e-05    -0.282747      7.91971     0.646766     0.652983    0.0755897 









  0.00801108        22463  6.66905e-05    -0.318842       7.9983     0.678601     0.665647    0.0793103 









