p1                                                                                                                                                                                                         p2      rg      se       z           p  h2_obs  h2_obs_se  h2_int  h2_int_se  gcov_int  gcov_int_se
AGDS_AD_female     AllOfUs_AD_female  0.5200  0.0961  5.4099  6.3052e-08  0.0593     0.0077  1.0119     0.0076    0.0162       0.0053
AGDS_AD_female      Bionic_AD_female  0.7335  0.1290  5.6850  1.3079e-08  0.0699     0.0143  1.0052     0.0080    0.0008       0.0050
AGDS_AD_female  Blokland21_AD_female  0.5690  0.1115  5.1036  3.3325e-07  0.1355     0.0181  0.9932     0.0094    0.0134       0.0056
AGDS_AD_female        GLAD_AD_female  0.6603  0.2098  3.1474  1.6474e-03  0.0671     0.0248  0.9912     0.0076    0.0020       0.0056
AGDS_AD_female         UKB_AD_female  0.7839  0.0854  9.1763  4.4611e-20  0.0920     0.0075  1.0086     0.0092   -0.0028       0.0061
AGDS_AD_female            AGDS_AD_male  0.9613  0.2002  4.8004  1.5837e-06  0.1647     0.0452  1.0126     0.0071    0.0226       0.0054
AGDS_AD_female         AllOfUs_AD_male  0.5366  0.1408  3.8115  1.3811e-04  0.0470     0.0121  0.9974     0.0080    0.0048       0.0055
AGDS_AD_female          Bionic_AD_male  0.4310  0.1602  2.6901  7.1427e-03  0.0773     0.0216  1.0000     0.0076    0.0012       0.0054
AGDS_AD_female      Blokland21_AD_male  0.6077  0.1643  3.6979  2.1736e-04  0.0767     0.0203  1.0188     0.0090    0.0146       0.0063
AGDS_AD_female            GLAD_AD_male  0.8759  0.3690  2.3738  1.7608e-02  0.0977     0.0680  0.9928     0.0079   -0.0057       0.0055
AGDS_AD_female             UKB_AD_male  0.6831  0.0928  7.3628  1.8006e-13  0.0753     0.0077  1.0078     0.0080    0.0052       0.0059
AllOfUs_AD_female      Bionic_AD_female  0.8848  0.1430   6.1884  6.0765e-10  0.0674     0.0131  1.0062     0.0069   -0.0007       0.0054
AllOfUs_AD_female  Blokland21_AD_female  0.8180  0.1149   7.1214  1.0687e-12  0.1281     0.0176  0.9996     0.0089    0.0052       0.0066
AllOfUs_AD_female        GLAD_AD_female  0.5287  0.1694   3.1213  1.8004e-03  0.0656     0.0226  0.9930     0.0066    0.0025       0.0049
AllOfUs_AD_female         UKB_AD_female  0.9313  0.0775  12.0222  2.7153e-33  0.0895     0.0071  1.0114     0.0080   -0.0074       0.0051
AllOfUs_AD_female            AGDS_AD_male  0.6478  0.1546   4.1907  2.7809e-05  0.1662     0.0462  1.0122     0.0072    0.0114       0.0052
AllOfUs_AD_female         AllOfUs_AD_male  1.0417  0.1817   5.7320  9.9245e-09  0.0397     0.0117  1.0036     0.0070   -0.0005       0.0044
AllOfUs_AD_female          Bionic_AD_male  0.6925  0.1693   4.0909  4.2974e-05  0.0717     0.0207  1.0009     0.0073    0.0010       0.0048
AllOfUs_AD_female      Blokland21_AD_male  1.0237  0.1935   5.2906  1.2189e-07  0.0654     0.0195  1.0235     0.0084   -0.0045       0.0060
AllOfUs_AD_female            GLAD_AD_male  1.0025  0.3570   2.8082  4.9817e-03  0.0979     0.0664  0.9938     0.0071   -0.0038       0.0047
AllOfUs_AD_female             UKB_AD_male  0.8001  0.0855   9.3635  7.7162e-21  0.0685     0.0070  1.0144     0.0066    0.0048       0.0046
Bionic_AD_female  Blokland21_AD_female  0.8148  0.1673  4.8713  1.1089e-06  0.1291     0.0174  0.9992     0.0089    0.0048       0.0068
Bionic_AD_female        GLAD_AD_female  0.4388  0.2005  2.1879  2.8679e-02  0.0626     0.0235  0.9940     0.0074    0.0049       0.0046
Bionic_AD_female         UKB_AD_female  0.8809  0.1209  7.2877  3.1535e-13  0.0885     0.0070  1.0129     0.0083    0.0004       0.0056
Bionic_AD_female            AGDS_AD_male  0.6009  0.2079  2.8904  3.8474e-03  0.1624     0.0459  1.0128     0.0072    0.0035       0.0057
Bionic_AD_female         AllOfUs_AD_male  0.7706  0.1785  4.3177  1.5769e-05  0.0424     0.0115  1.0013     0.0074   -0.0005       0.0044
Bionic_AD_female          Bionic_AD_male  1.0839  0.2265  4.7859  1.7020e-06  0.0731     0.0207  1.0005     0.0070    0.0306       0.0050
Bionic_AD_female      Blokland21_AD_male  1.1095  0.2493  4.4504  8.5720e-06  0.0691     0.0194  1.0211     0.0087    0.0043       0.0059
Bionic_AD_female            GLAD_AD_male  0.7885  0.3438  2.2934  2.1824e-02  0.0954     0.0703  0.9940     0.0073   -0.0005       0.0048
Bionic_AD_female             UKB_AD_male  0.9037  0.1215  7.4387  1.0166e-13  0.0716     0.0075  1.0100     0.0077    0.0014       0.0054
Blokland21_AD_female    GLAD_AD_female  0.5018  0.2600   1.9303  5.3569e-02  0.0516     0.0274  0.9958     0.0096    0.0075       0.0070
Blokland21_AD_female     UKB_AD_female  0.8793  0.0833  10.5595  4.5919e-26  0.0863     0.0078  1.0127     0.0110   -0.0015       0.0075
Blokland21_AD_female        AGDS_AD_male  0.7536  0.2000   3.7685  1.6421e-04  0.1441     0.0495  1.0185     0.0087   -0.0054       0.0062
Blokland21_AD_female     AllOfUs_AD_male  0.3323  0.1496   2.2217  2.6304e-02  0.0418     0.0121  0.9978     0.0089    0.0119       0.0062
Blokland21_AD_female      Bionic_AD_male  0.7302  0.1994   3.6630  2.4928e-04  0.0725     0.0240  0.9986     0.0096   -0.0066       0.0067
